afin	affin
ausquelz	auxquels
abatuë	abattu
acquerir	acquerre
acquerre	aquerir
aquerir	acquerir
aage	âge
aydé	aidé
aymable	aimable
ayme	aime
aymer	aimer
ainé	aîné
ainsi	ainsy
ayse	aise
aysé	aisé
aysément	aysement
aysément	aisément
aléxandre	alexandre
alloit	allait
allèrent	allerent
vay	vais
alteration	altération
amys	amis
amye	amie
amitiez	amitiés
amusemens	amusements
anglois	anglais
annee	année
août	aoust
apotre	apôtre
apparence	aparence
apellé	appellé
apprens	apprends
apprennent	apprenent
apprendre	aprendre
appris	apris
aprochant	approchant
appuy	appui
apres	après
archer	archier
ardant	ardent
arrester	arrêter
arresté	arrêté
arrivay	arrivai
asile	azile
assaults	assauts
assez	assés
asseurance	assurance
asseurément	assurément
asseurer	assurer
asseuré	assuré
attens	attends
aupres	auprès
aussi	aussy
aussitost	aussytost
autresfois	autrefois
avec	avecques
avec	avecque
avec	aveq
aveq	avecques
aveq	avecque
advantures	avantures
advanture	aventure
aventure	avanture
adverty	averti
aveus	aveux
auroient	auraient
auroit	aurait
auray	aurai
avois	avais
avoyent	avoient
avoient	avaient
avoit	avois
avoit	avait
eut	eust
ay	ai
avez	ayiez
ha	ay
ha	a
a	ay
eust	eût
aye	aie
ayent	aient
ayt	ait
advouë	avouë
besoing	besoin
bestes	bêtes
beste	bête
beuvant	beuvans
boys	bois
brûler	bruler
bruslé	brulé
campaigne	campagne
cantorberi	cantorbery
caractère	caractere
carosse	carrosse
cest	ces
ceste	cette
ceste	cette
cette	cét
celà	cela
célèbre	célebre
celestes	célestes
celui	celuy
cependant	cepandant
changemens	changements
cahos	chaos
chastiment	châtiment
chauld	chault
cherchoit	cherchait
chrétien	chrêtien
chrêtiens	chrétiens
cheute	chûte
ciceron	cicéron
clere	claire
clarté	clairté
colere	colère
commencemens	commencements
comment	coment
compaignie	compagnie
comprens	comprends
conçoy	conçois
connoissance	connaissance
connoissons	connaissons
connoître	connaître
congnoissant	cognoissant
cognoissant	connoissant
congnu	cognu
cognu	connu
conquérant	conquérans
consequence	conséquence
contre	contr
contree	contrée
costez	côtez
coulpable	coupable
coronne	couronne
couté	coûté
coûtumes	coutumes
craingnans	craignant
croy	croi
croi	crois
crû	cru
croissoyent	croissaient
danemarck	dannemarck
dens	dans
decembre	décembre
descouvert	découvert
desdaing	dédain
dedens	dedans
deffaire	défaire
deffend	défend
deffendre	défendre
deffendu	défendu
deffence	défense
deffit	deffis
desjà	desja
desja	déja
déja	deja
déja	déjà
demy	demi
despart	départ
deplorable	déplorable
deposition	déposition
derniere	derniére
desarmé	désarmé
descendans	descendants
desespoir	désespoir
desir	desirs
desirs	désirs
désire	desire
desormais	désormais
dessoubs	dessous
destruit	détruit
destruire	détruire
dueil	deuil
deutéronome	deuteronome
devenuë	devenue
debvoir	devoir
devroit	devrait
devoit	devait
doy	dois
dois	devois
doyvent	doivent
doit	doibt
difference	différence
différents	différens
difficille	difficile
difficultéz	difficultez
difficultez	difficultés
diray	dirai
disait	disoit
dit	disoit
disants	disant
discretion	discrétion
divertissemens	divertissements
donc	donq
donnèrent	donnerent
doulce	douce
esbahys	esbahy
escouter	écouter
écoûté	écouté
écrivis	écrivois
escrit	écrit
effect	effet
esgaré	égaré
eslections	élections
eslongner	éloigner
eslongné	éloigné
empeschoit	empêchoit
empesche	empèche
empescher	empêcher
encor	encores
encor	encore
enfans	enfants
enfraindre	enfreindre
ennemie	ennemy
ennemis	ennemys
ennemi	ennemy
ennuys	ennuis
entens	entends
entiére	entiere
entierement	entiérement
envoye	envoie
espee	espée
espée	épée
espaigne	espagne
espece	espèce
esperances	espérances
esperance	espérance
et	&
estat	état
estaindre	esteindre
esteindre	éteindre
estendre	étendre
eternel	éternelle
estonné	étonné
estouffer	étouffer
estranges	étranges
estrange	étrange
étrangéres	étrangers
seroit	serait
étois	etois
estoyent	estoient
estoient	étoient
étoient	étaient
estois	estoit
estoit	étois
étois	étoit
étoit	était
fust	fut
estes	êtes
êtes	etes
soyent	soient
estre	être
estant	étant
esté	été
evenemens	événements
evenement	événement
eviter	éviter
exceds	excès
extremes	extrêmes
extreme	extréme
extréme	extrême
faschee	fâchée
foible	faible
feroit	ferait
faisoyent	faisoient
